Liparis ambohimangana	0.49			8.96							46.04	48.13						0.03								0.05	6.65			24.51						34.2					8.16		10.7		14.69						13.44					41.07				3.87					26.05	48.51	35.59																20.46																	48.39
Paphiopedilum purpuratum	7.63	47.99	5.71	6.87	4.85	2.08	18.98	45.59	13.5	15.01	14.88	14.56	45.9	7.89		20.71	12.91		29.51	29.0	6.6	9.85		19.32		24.94	12.12	30.51		34.08	29.61	38.18			3.8	1.17	9.52		21.49	8.65	10.06	33.53	20.82		0.27	36.68	20.27	10.33	3.44	0.43	11.82		9.91	11.36	9.61	38.11	45.69		18.48			11.14	17.75	19.53	1.2					1.89	13.77	26.98		6.87	12.86			0.27		21.0	7.79	7.16		10.49	15.98		17.07	6.0	46.9	3.1	36.44	6.96		8.57	33.6		2.27	45.24		27.1
Paphiopedilum rothschildianum	12.15	16.11		24.81	13.63			39.1	36.96	40.64	13.75	9.58	5.45			43.03	3.46		3.2	5.44	5.11	20.84	1.13	16.71	46.16		25.35	35.05	29.73		27.01	10.29	26.28	3.98	2.74		34.9	28.91	12.96	29.88	1.18	19.64	37.9	2.86	26.47	24.78	27.1	33.17	5.42	47.43	8.28	18.25	19.47	0.83	0.52	17.28	0.07		26.52		1.03	33.8	23.35	21.83	5.03	9.4	0.82	27.36	13.53	13.45	23.66	13.03	32.75		5.79	41.16	38.31	4.13	4.37	7.51	8.43	26.31	0.7		3.11	42.82	17.56	21.36	5.94	23.12	48.87	8.69	0.61	21.69	20.77	17.39		9.58	1.02	30.06
Paphiopedilum sanderianum	1.47	10.74		23.63	17.23	18.49	44.4	14.14	20.64	12.68	30.82	24.14	11.31	19.19		45.98	18.23	29.49	1.12	2.06	8.54	8.28	19.01	13.44		4.38	28.13	20.73	11.71		7.34		14.24		27.81	18.48	28.43	15.58	10.27	35.61	6.63		17.52	43.77	13.55	4.68	28.3	14.67	5.91		6.7		12.05		6.34	36.41	26.66	37.94	10.7	10.53	3.27	11.8	5.43		41.03	2.09		29.38	30.72	20.42	7.92	45.25		2.29	12.36		9.47	18.64	31.24		30.58	35.53	45.18	5.34	9.33		42.51	5.19	15.01	26.69	25.59		10.35	34.15		0.54	6.7	12.5	0.54	28.55
Paphiopedilum schoseri	41.75	15.72	40.13	10.6	5.16			33.6		8.59	4.51	4.03	8.87	17.92	48.05	3.67	1.28	29.32			16.15		5.55	3.14		7.42	11.81	20.67	28.87	7.57	22.21	44.09	18.78	1.89	41.89	12.68	15.92		35.88	35.19		34.86	40.61		3.36	20.43	38.18		6.09	47.51		39.63	0.5		14.83	13.94		28.81	30.74	4.39	28.04	6.79	13.95	2.75	15.49			31.85	2.89	1.18	10.96	4.49	14.2	12.6	44.78	28.93	7.52	7.61		9.65	2.6	7.43	0.22		8.37	7.01			31.98		0.28		14.46	48.47	2.17	16.25	3.92		1.31	5.63
Paphiopedilum stonei	8.09	5.77	2.79		12.49	0.99	1.5	2.93	2.46	6.71		6.42	16.25		9.95	24.28	12.45	17.44		24.18	3.05		25.06	12.05	25.22	21.11	46.07			1.6		12.13		7.82		4.92	30.93				20.28	16.86	17.08	14.78	0.48	10.82	6.56			9.81	6.2		49.66	8.47	47.02	35.69	36.07	19.4	22.1	14.05	20.84	34.97	13.5	0.46	21.11	1.44	20.41	40.68	39.47	31.65	12.46	30.71	41.62	28.42		9.57	36.08		7.12		30.7	0.28	12.37		1.81	13.32	21.49	7.67	9.86	6.08		29.23		11.22	37.52	2.5	20.14		23.0	
Paphiopedilum supardii	5.26	46.1	2.41	17.08			12.19			45.4	8.75	17.04	17.31		27.34		37.76	15.14	15.09	1.76		1.28	0.39	15.5		6.59	48.59	23.67		8.28	17.17	41.45		5.72	13.65	30.51	2.67		14.72	11.17	2.97				46.04		47.19	10.34	31.58	35.03		48.52	28.53	40.82	11.75	8.45	6.95	7.35	47.33	8.77	9.36	2.69	5.93	22.8	14.83	5.02			16.2	33.84		13.99	4.62	21.38	21.39	6.19		1.02	3.74	10.51	42.38	16.17	39.76	10.27	5.19		5.67		28.9	4.53	4.34	12.44	4.1		18.45	2.65		1.74		2.19
Paphiopedilum tonsum	13.72	3.84	33.31					19.61			18.3							21.63								27.56		21.99					3.47					43.87			47.71				19.65	9.81			43.3	39.76								3.12				28.9	2.14					1.69									25.57		2.51	17.57		47.62		5.64															21.43	
Paphiopedilum victoria-regina	35.8		28.05	6.73	11.29	42.69	0.09		2.34		23.32	3.39	27.92	1.1	3.6			27.28	16.38	18.19	1.46	17.16	15.28	8.34	15.62	19.8	9.84	4.81	22.54	3.43		8.15		26.78	16.09	8.27	36.35	36.06	9.09	34.7	40.31	11.9	16.87	12.12	33.51		41.06	9.44	17.17	6.59	16.06	8.42		9.05		9.11	0.54	17.31	2.17	8.14		21.35	12.51	33.39	2.71	21.75	42.3	9.26	29.43	10.82		16.25	20.82	11.31	19.06	5.67	1.09	11.88		24.07	14.74	43.22	36.79	11.6	0.16		33.01	42.81	9.81			27.78	39.18	11.6	30.98	44.6	16.72		5.87	
Paphiopedilum vietnamense		19.42	15.07		2.66	15.51	47.71	5.49	8.62	39.4	7.5	36.42	12.99	33.2		8.21	48.0	1.96	0.98		3.22	40.26			4.06	20.26	1.82	11.22	2.84		9.2	10.03	26.57	2.09		19.56	17.48		15.79		8.72	2.12	16.45	18.88	2.37	20.2	18.7		40.81	22.93	10.06	13.79	41.78	26.44	2.06	40.15	20.98	31.49		49.15		32.54	45.49	39.89	16.6		30.22	5.67	3.63	2.42	48.49	8.61	4.06			38.64	30.74	5.6	28.85	20.91	8.61	10.55	0.68	31.39	1.08	30.7	12.74	17.31		19.13	11.54	3.35	26.55		20.16	11.62	1.46	6.53	18.58	
Paphiopedilum villosum																																		44.12																						47.18																																												
