	species	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
2290	Paphiopedilum druryi															CR						
2291	Paphiopedilum emersonii				CR											CR						
2292	Paphiopedilum exul															CR						
2293	Paphiopedilum fairrieanum															CR						
2294	Paphiopedilum fowliei				CR											CR						
2295	Paphiopedilum gigantifolium															CR						
2296	Paphiopedilum glanduliferum															EN						
2297	Paphiopedilum glaucophyllum															EN						
2298	Paphiopedilum godefroyae															EN						
2299	Paphiopedilum gratrixianum															CR					CR	
2300	Paphiopedilum guangdongense															CR						
2301	Paphiopedilum hangianum															CR						
2302	Paphiopedilum haynaldianum															EN						
2303	Paphiopedilum helenae															CR						
2304	Paphiopedilum hennisianum															EN						
2305	Paphiopedilum henryanum															CR						
2306	Paphiopedilum hirsutissimum															VU						
2307	Paphiopedilum hookerae															EN						
2308	Paphiopedilum inamorii															CR						
2309	Paphiopedilum insigne															EN						
2310	Paphiopedilum intaniae															CR						
2311	Paphiopedilum javanicum															EN						
2312	Paphiopedilum kolopakingii															CR						
2313	Paphiopedilum lawrenceanum															CR						
2314	Paphiopedilum liemianum															CR						
2315	Paphiopedilum lowii															EN						
2316	Paphiopedilum malipoense															EN						
2317	Paphiopedilum mastersianum													EN								
2318	Paphiopedilum micranthum															CR						
2319	Paphiopedilum niveum															EN						
2320	Paphiopedilum ooii															CR						
2321	Paphiopedilum papuanum															EN						
2322	Paphiopedilum parishii															EN						
2323	Paphiopedilum parnatanum															CR						
2324	Paphiopedilum philippinense															NT						
2325	Paphiopedilum platyphyllum															CR						
2326	Paphiopedilum primulinum															CR						
2327	Paphiopedilum purpuratum															CR						
2328	Paphiopedilum qingyongii															CR						
2329	Paphiopedilum randsii															EN						
2330	Paphiopedilum rothschildianum															CR						
2331	Paphiopedilum sanderianum															CR						
2332	Paphiopedilum sangii															CR						
2333	Paphiopedilum schoseri															CR						
2334	Paphiopedilum spicerianum															EN						
2335	Paphiopedilum stonei															CR						
2336	Paphiopedilum sugiyamanum															CR						
2337	Paphiopedilum sukhakulii															CR						
2338	Paphiopedilum supardii															CR						
2339	Paphiopedilum superbiens															EN						
2340	Paphiopedilum thaianum															CR						
2341	Paphiopedilum tigrinum				CR											EN						
2342	Paphiopedilum tonsum															EN						
2343	Paphiopedilum tranlienianum															CR						
2344	Paphiopedilum urbanianum				CR											CR						
2345	Paphiopedilum venustum															EN						
2346	Paphiopedilum victoria-mariae															CR						
2347	Paphiopedilum victoria-regina															CR						
2348	Paphiopedilum vietnamense															CR						
2349	Paphiopedilum villosum															VU						
2350	Paphiopedilum violascens															EN						
2351	Paphiopedilum wardii															EN						
2352	Paphiopedilum wenshanense															CR						
2353	Paphiopedilum wentworthianum															CR						
2354	Paphiopedilum wilhelminae															EN						
2355	Papilionanthe greenii																	LC				
2356	Papuaea reticulata																			LC		
2357	Pectinariella dasycarpum																			VU		
2358	Pectinariella edmundi																			EN		
2359	Pectinariella pterophylla																			VU		
2360	Pectinariella scroticalcar																			EN		
2361	Pedilochilus papuanus														LC							
2362	Pelexia goyazensis													NT								
2363	Pelexia orthosepala													LC								
2364	Pelexia sceptrum													DD								
2365	Pennilabium angraecum																		LC			
2366	Peristylus aristatus																		LC			
2367	Peristylus holochila															CR						
2368	Peristylus trimenii																		EN			
2369	Pescatoria russeliana																		DD			
2370	Phaedranassa brevifolia			EN																		
2371	Phaedranassa cinerea			VU																		
2372	Phaedranassa glauciflora			EN																		
2373	Phaedranassa schizantha			VU																		
2374	Phaedranassa tunguraguae			EN																		
2375	Phaedranassa viridiflora			EN																		
2376	Phaius corymbioides													LC								
2377	Phalaenopsis hainanensis				CR																	
2378	Phalaenopsis lindenii				EN																	
2379	Phalaenopsis micholitzii				CR																	
2380	Phalaenopsis regnieriana																		DD			
2381	Phalaenopsis violacea													VU								
2382	Pholidota camelostalix													LC								
2383	Pholidota chinensis													NT								
2384	Pholidota globosa													LC								
2385	Phragmipedium andreettae																CR					
2386	Phragmipedium anguloi																CR					
2387	Phragmipedium besseae																EN					
2388	Phragmipedium boissierianum																LC					
2389	Phragmipedium brasiliense																DD					
2390	Phragmipedium caricinum																NT					
2391	Phragmipedium caudatum																EN					
2392	Phragmipedium christiansenianum																CR					
2393	Phragmipedium dalessandroi																CR					
2394	Phragmipedium exstaminodium																CR					
2395	Phragmipedium fischeri																CR					
2396	Phragmipedium hartwegii																EN					
2397	Phragmipedium hirtzii																EN					
2398	Phragmipedium humboldtii																VU					
2399	Phragmipedium klotzschianum																EN					
2400	Phragmipedium kovachii																CR					
2401	Phragmipedium lindenii													LC								
2402	Phragmipedium lindleyanum																VU					
2403	Phragmipedium longifolium																LC					
2404	Phragmipedium manzurii																CR					
2405	Phragmipedium pearcei																LC					
2406	Phragmipedium reticulatum																VU					
2407	Phragmipedium richteri																CR					
2408	Phragmipedium sargentianum																EN					
2409	Phragmipedium schlimii																EN					
2410	Phragmipedium tetzlaffianum																CR					
2411	Phragmipedium vittatum														LC							
2412	Phragmipedium warszewiczianum																VU					
2413	Phreatia alpina													DD								
2414	Phreatia caudiflora																	DD				
2415	Phreatia constricta													LC								
2416	Phreatia plantaginifolia													LC								
2417	Phreatia sublata																				LC	
2418	Physoceras boryanum													EN								
2419	Pinalia fitzalanii													LC								
2420	Pinalia szetschuanica														LC							
2421	Pityphyllum pinoides													EN								
2422	Platanthera algeriensis																		NT			
2423	Platanthera blephariglottis																	LC				
2424	Platanthera boninensis																		EN			
2425	Platanthera chapmanii															VU						
2426	Platanthera chorisiana																	LC				
2427	Platanthera clavellata																	LC				
2428	Platanthera deflexilabella				VU																	
2429	Platanthera finetiana				VU																	
2430	Platanthera huronensis																	LC				
2431	Platanthera hyperborea																	LC				
2432	Platanthera integrilabia															NT						
2433	Platanthera leucophaea															LC						
2434	Platanthera likiangensis				VU																	
2435	Platanthera longiglandula				VU																	
2436	Platanthera micrantha											EN										
2437	Platanthera oreophila				VU																	
2438	Platanthera platantheroides				VU																	
2439	Platanthera praeclara								EN													
2440	Platanthera sinica				VU																	
2441	Platanthera tipuloides													LC								
2442	Platanthera yadonii															VU						
2443	Platanthera yosemitensis															EN						
2444	Platanthera zothecina															DD						
2445	Platycoryne mediocris													LC								
2446	Platylepis grandiflora																	LC				
2447	Platystele minimiflora													LC								
2448	Platythelys paranaensis													VU								
2449	Pleione chunii				VU																	
2450	Pleione formosana				VU																	
2451	Pleione forrestii				EN																	
2452	Pleione pleionoides				VU																	
2453	Pleurothallis carinifera														LC							
2454	Pleurothallis caymanensis														NT							
2455	Pleurothallis elegantula														DD							
2456	Pleurothallis miniatolineolata														DD							
2457	Pleurothallis rowleei													LC								
2458	Pleurothallis talpinarioides																		DD			
2459	Pleurothallopsis lehmannii																		DD			
2460	Plocoglottis borneensis														LC							
2461	Plocoglottis copelandii													LC								
2462	Plocoglottis neohibernica																	NT				
2463	Podochilus khasianus													LC								
2464	Pogonia ophioglossoides																	LC				
2465	Polystachya acuminata													CR								
2466	Polystachya albescens													LC								
2467	Polystachya anastacialynae																			LC		
2468	Polystachya anthoceros																				EN	
2469	Polystachya bamendae																				EN	
2470	Polystachya bicalcarata				VU																	
2471	Polystachya biteaui																				EN	
2472	Polystachya bruechertiae																	LC				
2473	Polystachya brugeana													DD								
2474	Polystachya caespitifica													LC								
2475	Polystachya canaliculata													CR								
2476	Polystachya caudata													EN								
2477	Polystachya cooperi				EN																	
2478	Polystachya cribbiana																			LC		
2479	Polystachya dewanckeliana																			EN		
2480	Polystachya disiformis													EN								
2481	Polystachya disticha																			EN		
2482	Polystachya doggettii																			LC		
2483	Polystachya erica-lanzae																			CR		
2484	Polystachya eurygnatha																			EN		
2485	Polystachya expansa																				EN	
2486	Polystachya fallax																			EN		
2487	Polystachya farinosa				EN																EN	
2488	Polystachya fischeri													EN								
2489	Polystachya geniculata				EN																EN	
2490	Polystachya gracilenta																			VU		
2491	Polystachya hastata																			VU		
2492	Polystachya holstii													EN								
2493	Polystachya isochiloides													EN								
2494	Polystachya kermesina																			LC		
2495	Polystachya kubalae																				VU	
2496	Polystachya kupensis				CR																CR	
2497	Polystachya lacroixiana																	CR				
2498	Polystachya laurentii																			VU		
2499	Polystachya lawalreana																			LC		
2500	Polystachya lejolyana																				EN	
2501	Polystachya leonardiana																			LC		
2502	Polystachya leucorhoda																			VU		
2503	Polystachya longiscapa													EN								
2504	Polystachya lukwangulensis													DD								
2505	Polystachya maculata																	CR				
2506	Polystachya mazumbaiensis													EN								
2507	Polystachya meyeri																			EN		
2508	Polystachya mildbraedii																			LC		
2509	Polystachya modesta													LC								
2510	Polystachya nyanzensis																			VU		
2511	Polystachya pachychila																			EN		
2512	Polystachya pamelae																			LC		
2513	Polystachya parviflora																				EN	
2514	Polystachya poikilantha																			LC		
2515	Polystachya porphyrochila													CR								
2516	Polystachya praecipitis													EN								
2517	Polystachya proterantha																			LC		
2518	Polystachya pudorina													EN								
2519	Polystachya retusiloba																			LC		
2520	Polystachya rugosilabia													CR								
2521	Polystachya ruwenzoriensis																			LC		
2522	Polystachya samilae																			LC		
2523	Polystachya serpentina													EN								
2524	Polystachya shega													EN								
2525	Polystachya stauroglossa																			VU		
2526	Polystachya stauroglossa var. alata																	EN				
2527	Polystachya subdiphylla													EN								
2528	Polystachya subumbellata																		LC			
2529	Polystachya superposita																					NE
2530	Polystachya teitensis													EN								
2531	Polystachya tenella																			LC		
2532	Polystachya testuana													NT								
2533	Polystachya tridentata																			LC		
2534	Polystachya troupiniana																			LC		
2535	Polystachya uluguruensis													EN								
2536	Polystachya undulata																	EN				
2537	Polystachya valentina																		LC			
2538	Polystachya victoriae																					NE
2539	Polystachya virginea																			LC		
2540	Polystachya virginea var. parva																	EN				
2541	Polystachya walravensiana																			LC		
2542	Polystachya winigeri																			EN		
2543	Polystachya woosnamii																			VU		
2544	Polystachya woosnamii var. nyungweensis																	LC				
2545	Polystachya woosnamii var. woosnamii																			VU		
2546	Polystachya xerophila													EN								
2547	Pomatocalpa bhutanicum																	DD				
2548	Pomatocalpa maculosum													LC								
2549	Ponerorchis chidorii																		VU			
2550	Ponerorchis curtipes																		DD			
2551	Porroglossum muscosum																	LC				
2552	Prasophyllum favonium													CR								
2553	Prasophyllum giganteum													LC								
2554	Prasophyllum mimulum														LC							
2555	Prescottia lojana																	LC				
2556	Prospero battagliae																		DD			
2557	Prospero corsicum																		LC			
2558	Prospero cyrenaica																		NT			
2559	Prospero depressum																		VU			
2560	Prospero fallax																		LC			
2561	Prospero hierae																		VU			
2562	Prospero hierapytnense																		DD			
2563	Prospero idaeum																		DD			
2564	Prospero minimum																		VU			
2565	Prospero obtusifolium																		NT			
2566	Prospero pulchellum																			DD		
2567	Prospero rhadamanthi																		DD			
2568	Prospero talosii																		CR			
2569	Pseudomuscari coeruleum																	NT				
2570	Pseudovanilla affinis																		EN			
2571	Psychilis macconnelliae																		NT			
2572	Psychilis olivacea														VU							
2573	Pteroceras simondianum														LC							
2574	Pterostylis acuminata													LC								
2575	Pterostylis erecta													LC								
2576	Pterostylis hispidula													LC								
2577	Pterostylis humilis																	LC				
2578	Pterostylis mutica													LC								
2579	Pterostylis praetermissa														LC							
2580	Pterostylis squamata													LC								
2581	Restrepia trichoglossa													LC								
2582	Rhadamanthus namibensis				LC																	
2583	Rhadamanthus secundus				LC																	
2584	Rhaesteria eggelingii																			LC		
2585	Rhinerrhizopsis moorei																				LC	
2586	Rhipidoglossum arbonnieri																			LC		
2587	Rhipidoglossum bilobatum																			VU		
2588	Rhipidoglossum delepierreanum																			LC		
2589	Rhipidoglossum globulosocalcaratum																			EN		
2590	Rhipidoglossum melianthum													LC								
2591	Rhipidoglossum orientalis													CR								
2592	Rhipidoglossum ovale																			VU		
2593	Rhipidoglossum polydactylum				VU																	
2594	Rhipidoglossum tanneri													EN								
2595	Ridleyella paniculata																			LC		
2596	Romulea antiatlantica										CR								CR			
2597	Romulea aquatica										EN											
2598	Romulea arnaudii																		CR			
2599	Romulea assumptionis																	LC				
2600	Romulea battandieri																		DD			
2601	Romulea bifrons																		NT			
2602	Romulea bocchierii																	NT				
2603	Romulea corsica																		LC			
2604	Romulea cyrenaica																		EN			
2605	Romulea engleri																		NT			
2606	Romulea florentii																		VU			
2607	Romulea insularis																		CR			
2608	Romulea maroccana																		EN			
2609	Romulea multisulcata										VU											
2610	Romulea nivalis																		VU			
2611	Romulea numidica																		DD			
2612	Romulea penzigii																		DD			
2613	Romulea phoenicia																	VU				
2614	Romulea requienii																		LC			
2615	Romulea revelierei																		LC			
2616	Romulea rollii																		LC			
2617	Romulea tempskyana																		LC			
2618	Romulea vaillantii																		DD			
2619	Romulea variicolor																		LC			
2620	Romulea villaretii																		CR			
2621	Sansevieria pedicellata																			LC		
2622	Sarcochilus falcatus													LC								
2623	Sarcochilus gildasii																				LC	
2624	Sarcochilus koghiensis																				LC	
2625	Sarcoglottis veyretiae														DD							
2626	Satyrium anomalum																		DD			
2627	Satyrium compactum																		DD			
2628	Satyrium ecalcaratum																			LC		
2629	Satyrium elongatum																		DD			
2630	Satyrium flavum																		LC			
2631	Satyrium microcorys																		DD			
2632	Satyrium monadenum																		DD			
2633	Satyrium princeae																		DD			
2634	Satyrium shirense																		DD			
2635	Satyrium trinerve																		LC			
2636	Sauroglossum nitidum													LC								
2637	Scadoxus pole-evansii																				NT	
2638	Scaphyglottis sickii													LC								
2639	Schizochilus cecilii																				LC	
2640	Schizochilus lepidus																		VU			
2641	Scilla albanica																		LC			
2642	Scilla dimartinoi																		EN			
2643	Scilla libanotica																	LC				
2644	Scilla litardierei											DD							NT			
2645	Scilla lochiae											DD						NT				
2646	Scilla madeirensis											LC										
2647	Scilla morrisii						CR											EN				
2648	Scilla odorata											DD										
2649	Selenipedium aequinoctiale																EN					
2650	Selenipedium chica																EN					
2651	Selenipedium chironianum																CR					
2652	Selenipedium dodsonii																EN					
2653	Selenipedium isabelianum																EN					
2654	Selenipedium palmifolium																NT					
2655	Selenipedium steyermarkii																EN					
2656	Selenipedium vanillocarpum																CR					
2657	Serapias frankavillae																	NT				
2658	Serapias neglecta											NT										
2659	Serapias nurrica											NT										
2660	Serapias perez-chiscanoi																		LC			
2661	Serapias stenopetala										CR											
2662	Sirhookera lanceolata																		LC			
2663	Skeptrostachys arechavaletanii													LC								
2664	Smithorchis calceoliformis				EN																	
2665	Sobennikoffia poissoniana													VU					EN			
2666	Sobralia stenophylla													LC								
2667	Spathoglottis petri																	LC				
2668	Specklinia brighamii													LC								
2669	Specklinia cabellensis																		NT			
2670	Specklinia corniculata													LC								
2671	Specklinia picta													LC								
2672	Spiloxene aquatica										LC											
2673	Spiranthes brevilabris															EN						
2674	Spiranthes casei													LC								
2675	Spiranthes delitescens															EN						
2676	Spiranthes diluvialis															LC						
2677	Spiranthes infernalis															NT						
2678	Spiranthes parksii															VU						
2679	Spiranthes romanzoffiana																	LC				
2680	Spiranthes sinensis														LC							
2681	Spiranthes torta															LC						
2682	Stelis immersa													LC								
2683	Stelis itatiayae													NT								
2684	Stelis magdalenae													LC								
2685	Stelis ruprechtiana													LC								
2686	Stelis stapedia																		DD			
2687	Stelis tabacina													VU								
2688	Stelis tenuilabris														LC							
2689	Sternbergia pulchella																		DD			
2690	Stolzia angustifolia													EN								
2691	Stolzia atrorubra													EN								
2692	Stolzia christopheri													EN								
2693	Stolzia heiligenthalii																			LC		
2694	Stolzia kalkhof-roseae																			LC		
2695	Stolzia leedalii													EN								
2696	Stolzia moniliformis													EN								
2697	Stolzia oligantha													EN								
2698	Stolzia viridis													EN								
2699	Stolzia williamsonii																			LC		
2700	Strumaria barbarae				LC																	
2701	Strumaria chaplinii														EN							
2702	Strumaria hardyana				LC																	
2703	Strumaria phonolithica				LC																	
2704	Taeniophyllum borneense																		CR			
2705	Taeniophyllum gracillimum													LC								
2706	Taeniophyllum graptolitum																				NT	
2707	Taeniophyllum oblongum																	DD				
2708	Taeniophyllum oreophilum																				LC	
2709	Tainia hongkongensis													LC								
2710	Telipogon alexii													VU								
2711	Telipogon biolleyi														NT							
2712	Thelymitra cyanea													LC								
2713	Thelymitra papuana													LC								
2714	Thrixspermum vanoverberghii																		DD			
2715	Tolumnia guibertiana													LC								
2716	Tolumnia lucayana																				EN	
2717	Tolumnia prionochila																		NT			
2718	Tolumnia variegata														LC							
2719	Trachyandra erythrorrhiza			VU																		
2720	Trachyandra peculiaris				VU																	
2721	Triceratorhynchus viridiflorus																			VU		
2722	Trichoglottis smithii													LC								
2723	Trichoglottis tenuis														EN							
2724	Trichoglottis winkleri													LC								
2725	Trichopilia marginata													LC								
2726	Trichopilia turialbae													LC								
2727	Trichosalpinx silverstonei																		DD			
2728	Trichotosia canaliculata																		DD			
2729	Trichotosia mollicaulis																		LC			
2730	Tridactyle brevifolia													EN								
2731	Tridactyle cruciformis													EN								
2732	Tridactyle flabellata													LC								
2733	Tridactyle minuta													EN								
2734	Tridactyle nanne-ritzkae																			LC		
2735	Tridactyle phaeocephala													LC								
2736	Tridactyle sarcodantha													CR								
2737	Tridactyle stevartiana																			LC		
2738	Tridactyle tanneri													EN								
2739	Tridactyle virgula																			VU		
2740	Triphora amazonica															DD						
2741	Triphora craigheadii															EN						
2742	Triphora yucatanensis															EN						
2743	Tritonia moggii																			LC		
2744	Tropidia saprophytica														LC							
2745	Tropidia septemnervis																		DD			
2746	Tsaiorchis neottianthoides				VU																	
2747	Tulbaghia friesii																				LC	
2748	Tylostigma filiforme																	CR				
2749	Tylostigma herminioides																	CR				
2750	Tylostigma hildebrandtii																	EN				
2751	Tylostigma madagascariense																	CR				
2752	Tylostigma nigrescens																	EN				
2753	Vagaria ollivieri																		VU			
2754	Vagaria parviflora																	LC				
2755	Vanda hindsii													LC								
2756	Vanda javierae				EN																	
2757	Vanda scandens				EN																	
2758	Vanda spathulata														VU							
2759	Vanda tessellata														LC							
2760	Vanilla cribbiana																	CR				
2761	Vanilla hartii																	EN			EN	
2762	Vanilla helleri																				DD	
2763	Vanilla inodora																	EN			EN	
2764	Vanilla insignis																	EN				
2765	Vanilla odorata																	EN				
2766	Vanilla phaeantha																	EN				
2767	Vanilla phalaenopsis											LC										
2768	Vanilla planifolia																	EN				
2769	Vanilla pompona																	EN				
2770	Vanilla somai				EN																	
2771	Warczewiczella ionoleuca																		LC			
2772	Whiteheadia etesionamibensis				LC																	
2773	Worsleya procera																CR					
2774	Xanthorrhoea acanthostachya																				LC	
2775	Xanthorrhoea brunonis																				LC	
2776	Xanthorrhoea drummondii																				LC	
2777	Xanthorrhoea gracilis																				LC	
2778	Xanthorrhoea malacophylla																				LC	
2779	Xanthorrhoea nana																				LC	
2780	Xanthorrhoea platyphylla																				LC	
2781	Xanthorrhoea preissii																				LC	
2782	Xanthorrhoea semiplana																				LC	
2783	Yoania japonica																		LC			
2784	Yucca angustissima																				LC	
2785	Yucca arkansana																				LC	
2786	Yucca baccata																				LC	
2787	Yucca baileyi																				LC	
2788	Yucca brevifolia																				LC	
2789	Yucca campestris																				EN	
2790	Yucca capensis																				EN	
2791	Yucca carnerosana																				LC	
2792	Yucca cernua																				EN	
2793	Yucca coahuilensis																				VU	
2794	Yucca constricta																				LC	
2795	Yucca decipiens																				LC	
2796	Yucca declinata																				DD	
2797	Yucca elata																				LC	
2798	Yucca endlichiana																				EN	
2799	Yucca faxoniana																				LC	
2800	Yucca filamentosa																				LC	
2801	Yucca filifera																				LC	
2802	Yucca glauca																				LC	
2803	Yucca gloriosa																				LC	
2804	Yucca grandiflora																				LC	
2805	Yucca guatemalensis																				DD	
2806	Yucca harrimaniae																				LC	
2807	Yucca intermedia																				LC	
2808	Yucca jaegeriana																				LC	
2809	Yucca jaliscensis																				VU	
2810	Yucca kanabensis																				EN	
2811	Yucca lacandonica																				EN	
2812	Yucca linearifolia																				VU	
2813	Yucca madrensis																				DD	
2814	Yucca mixtecana																				VU	
2815	Yucca nana																				DD	
2816	Yucca necopina																				VU	
2817	Yucca neomexicana																				LC	
2818	Yucca pallida																				LC	
2819	Yucca periculosa																				NT	
2820	Yucca potosina																				VU	
2821	Yucca queretaroensis																				EN	
2822	Yucca reverchonii																				LC	
2823	Yucca rigida																				LC	
2824	Yucca rostrata																				LC	
2825	Yucca rupicola																				LC	
2826	Yucca schidigera																				LC	
2827	Yucca schottii																				LC	
2828	Yucca thompsoniana																				LC	
2829	Yucca toftiae																				VU	
2830	Yucca treculeana																				VU	
2831	Yucca utahensis																				LC	
2832	Yucca valida																				LC	
2833	Zeuxine amboinensis													LC								
2834	Zeuxine odorata																		NT			
2835	Zeuxine rolfiana																CR					
2836	Zeuxine strateumatica											LC										
2837	Zygopetalum crinitum													LC								
